,,,,,,
CL_ADMIN_PRICES_EN,Index Numbers,,,,,
Indicator Name,Selected period with the corresponding period last year,,,,,
,,,,,,
Item Code,Item Name,YEAR_MONTH,CL_ADMIN_PRICES_E,D_BASKET_LVL,Indicator Name,OBS_VALUE
06.4.1.0.0,Diagnostic imaging services and medical laboratory services,3/1/18,Index Numbers,5,Selected period with the corresponding period last year,1.7
06.4.1.0.0,Diagnostic imaging services and medical laboratory services,4/1/14,Index Numbers,5,Selected period with the corresponding period last year,3.3
06.4.1.0.0,Diagnostic imaging services and medical laboratory services,3/1/14,Index Numbers,5,Selected period with the corresponding period last year,4.6
06.4.1.0.0,Diagnostic imaging services and medical laboratory services,2/1/14,Index Numbers,5,Selected period with the corresponding period last year,4.6
06.4.1.0.0,Diagnostic imaging services and medical laboratory services,8/1/19,Index Numbers,5,Selected period with the corresponding period last year,1.6
13,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",1/1/18,Index Numbers,1,Selected period with the corresponding period last year,-0.5
13,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",12/1/17,Index Numbers,1,Selected period with the corresponding period last year,-0.1
13,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",11/1/17,Index Numbers,1,Selected period with the corresponding period last year,0
13,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",10/1/17,Index Numbers,1,Selected period with the corresponding period last year,-0.3
13,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",9/1/17,Index Numbers,1,Selected period with the corresponding period last year,-0.4
13,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",8/1/17,Index Numbers,1,Selected period with the corresponding period last year,-0.1
13,"PERSONAL CARE, SOCIAL PROTECTION AND MISCELLANEOUS GOODS AND SERVICES",7/1/17,Index Numbers,1,Selected period with the corresponding period last year,-0.1
06.2.1.9,Other preventive services,7/1/25,Index Numbers,4,Selected period with the corresponding period last year,-2.4
06.2.1.9.0,Other preventive services,2/1/26,Index Numbers,5,Selected period with the corresponding period last year,1.3
06.2.1.9.0,Other preventive services,1/1/26,Index Numbers,5,Selected period with the corresponding period last year,1.1
06.2.1.9.0,Other preventive services,12/1/25,Index Numbers,5,Selected period with the corresponding period last year,0.4
06.2.1.9.0,Other preventive services,6/1/24,Index Numbers,5,Selected period with the corresponding period last year,-6.8
06.2.1.9.0,Other preventive services,5/1/24,Index Numbers,5,Selected period with the corresponding period last year,-8.3
06.2.1.9.0,Other preventive services,2/1/25,Index Numbers,5,Selected period with the corresponding period last year,-3.3
06.2.1.9.0,Other preventive services,1/1/25,Index Numbers,5,Selected period with the corresponding period last year,-2.8
06.2.1.9.0,Other preventive services,12/1/24,Index Numbers,5,Selected period with the corresponding period last year,-2.8
06.2.1.9.0,Other preventive services,11/1/24,Index Numbers,5,Selected period with the corresponding period last year,-4.4
06.2.1.9.0,Other preventive services,10/1/24,Index Numbers,5,Selected period with the corresponding period last year,-2.4
06.2.1.9.0,Other preventive services,9/1/24,Index Numbers,5,Selected period with the corresponding period last year,-4.4
06.2.1.9.0,Other preventive services,8/1/24,Index Numbers,5,Selected period with the corresponding period last year,-4.4
06.2.1.9.0,Other preventive services,7/1/24,Index Numbers,5,Selected period with the corresponding period last year,-6.1
06.2.1.9.0,Other preventive services,7/1/26,Index Numbers,5,Selected period with the corresponding period last year,1.4
06.2.1.9.0,Other preventive services,6/1/26,Index Numbers,5,Selected period with the corresponding period last year,1.5
01.1.3.1,"Live, fresh, chilled or frozen fish",5/1/15,Index Numbers,4,Selected period with the corresponding period last year,5.7
01.1.3.1,"Live, fresh, chilled or frozen fish",4/1/15,Index Numbers,4,Selected period with the corresponding period last year,2.5
01.1.3.1,"Live, fresh, chilled or frozen fish",3/1/15,Index Numbers,4,Selected period with the corresponding period last year,0.9
01.1.3.1,"Live, fresh, chilled or frozen fish",2/1/15,Index Numbers,4,Selected period with the corresponding period last year,-0.1
01.1.3.1,"Live, fresh, chilled or frozen fish",1/1/15,Index Numbers,4,Selected period with the corresponding period last year,2.2
01.1.3.1,"Live, fresh, chilled or frozen fish",7/1/14,Index Numbers,4,Selected period with the corresponding period last year,3.9
01.1.3.1,"Live, fresh, chilled or frozen fish",6/1/14,Index Numbers,4,Selected period with the corresponding period last year,3.7
01.1.3.1,"Live, fresh, chilled or frozen fish",7/1/26,Index Numbers,4,Selected period with the corresponding period last year,1.3
01.1.3.1,"Live, fresh, chilled or frozen fish",6/1/26,Index Numbers,4,Selected period with the corresponding period last year,0.2
01.1.3.1,"Live, fresh, chilled or frozen fish",5/1/26,Index Numbers,4,Selected period with the corresponding period last year,0.7
01.1.3.1,"Live, fresh, chilled or frozen fish",4/1/26,Index Numbers,4,Selected period with the corresponding period last year,1.9
01.1.3.1,"Live, fresh, chilled or frozen fish",3/1/26,Index Numbers,4,Selected period with the corresponding period last year,0.2
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",12/1/18,Index Numbers,5,Selected period with the corresponding period last year,4.7
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",11/1/18,Index Numbers,5,Selected period with the corresponding period last year,5.9
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",10/1/18,Index Numbers,5,Selected period with the corresponding period last year,5.4
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",9/1/18,Index Numbers,5,Selected period with the corresponding period last year,4.7
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",8/1/18,Index Numbers,5,Selected period with the corresponding period last year,4.7
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",7/1/19,Index Numbers,5,Selected period with the corresponding period last year,-0.6
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",6/1/19,Index Numbers,5,Selected period with the corresponding period last year,-0.5
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",5/1/19,Index Numbers,5,Selected period with the corresponding period last year,-0.9
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",5/1/22,Index Numbers,5,Selected period with the corresponding period last year,5.9
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",4/1/22,Index Numbers,5,Selected period with the corresponding period last year,5.1
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",3/1/22,Index Numbers,5,Selected period with the corresponding period last year,1
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",2/1/22,Index Numbers,5,Selected period with the corresponding period last year,0.3
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",1/1/22,Index Numbers,5,Selected period with the corresponding period last year,-0.3
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",12/1/21,Index Numbers,5,Selected period with the corresponding period last year,0.3
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",11/1/21,Index Numbers,5,Selected period with the corresponding period last year,0.3
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",7/1/20,Index Numbers,5,Selected period with the corresponding period last year,11.9
04.1.1.0.2,Actual rents paid by tenants for main residence - floor in villa,10/1/18,Index Numbers,5,Selected period with the corresponding period last year,-11.2
04.1.1.0.2,Actual rents paid by tenants for main residence - floor in villa,9/1/18,Index Numbers,5,Selected period with the corresponding period last year,-11.6
04.1.1.0.2,Actual rents paid by tenants for main residence - floor in villa,8/1/19,Index Numbers,5,Selected period with the corresponding period last year,-12.3
04.1.1.0.2,Actual rents paid by tenants for main residence - floor in villa,7/1/19,Index Numbers,5,Selected period with the corresponding period last year,-12.9
04.1.1.0.2,Actual rents paid by tenants for main residence - floor in villa,6/1/19,Index Numbers,5,Selected period with the corresponding period last year,-13.4
04.1.1.0.2,Actual rents paid by tenants for main residence - floor in villa,5/1/19,Index Numbers,5,Selected period with the corresponding period last year,-14.7
04.1.1.0.2,Actual rents paid by tenants for main residence - floor in villa,4/1/19,Index Numbers,5,Selected period with the corresponding period last year,-15.4
04.1.1.0.2,Actual rents paid by tenants for main residence - floor in villa,3/1/19,Index Numbers,5,Selected period with the corresponding period last year,-16.2
04.1.1.0.2,Actual rents paid by tenants for main residence - floor in villa,2/1/19,Index Numbers,5,Selected period with the corresponding period last year,-16.9
04.1.1.0.3,Actual rents paid by tenants for main residence - apartment,11/1/21,Index Numbers,5,Selected period with the corresponding period last year,-7.5
04.1.1.0.3,Actual rents paid by tenants for main residence - apartment,10/1/21,Index Numbers,5,Selected period with the corresponding period last year,-8
04.1.1.0.3,Actual rents paid by tenants for main residence - apartment,9/1/21,Index Numbers,5,Selected period with the corresponding period last year,-8.1
04.1.1.0.3,Actual rents paid by tenants for main residence - apartment,7/1/26,Index Numbers,5,Selected period with the corresponding period last year,5
04.1.1.0.3,Actual rents paid by tenants for main residence - apartment,6/1/26,Index Numbers,5,Selected period with the corresponding period last year,5.3
01.1.6.5.2,Fresh kiwi,3/1/19,Index Numbers,5,Selected period with the corresponding period last year,-18.4
01.1.6.5.2,Fresh kiwi,2/1/19,Index Numbers,5,Selected period with the corresponding period last year,-15.1
01.1.6.5.2,Fresh kiwi,1/1/19,Index Numbers,5,Selected period with the corresponding period last year,-14.1
01.1.6.5.2,Fresh kiwi,12/1/18,Index Numbers,5,Selected period with the corresponding period last year,-18.7
01.1.6.5.2,Fresh kiwi,11/1/18,Index Numbers,5,Selected period with the corresponding period last year,-14.8
01.1.6.5.2,Fresh kiwi,10/1/18,Index Numbers,5,Selected period with the corresponding period last year,-16.6
01.1.6.5.2,Fresh kiwi,9/1/18,Index Numbers,5,Selected period with the corresponding period last year,-19.1
01.1.6.5.2,Fresh kiwi,8/1/18,Index Numbers,5,Selected period with the corresponding period last year,-15.8
01.1.6.5.2,Fresh kiwi,7/1/18,Index Numbers,5,Selected period with the corresponding period last year,-15.6
01.1.6.5.2,Fresh kiwi,4/1/19,Index Numbers,5,Selected period with the corresponding period last year,-17.5
01.1.6.5.2,Fresh kiwi,3/1/20,Index Numbers,5,Selected period with the corresponding period last year,12
01.1.6.5.2,Fresh kiwi,2/1/20,Index Numbers,5,Selected period with the corresponding period last year,8.3
01.1.6.5.2,Fresh kiwi,1/1/20,Index Numbers,5,Selected period with the corresponding period last year,14.9
01.1.6.5.2,Fresh kiwi,12/1/19,Index Numbers,5,Selected period with the corresponding period last year,7.9
01.1.6.5.2,Fresh kiwi,11/1/19,Index Numbers,5,Selected period with the corresponding period last year,6.2
01.1.6.5.2,Fresh kiwi,10/1/19,Index Numbers,5,Selected period with the corresponding period last year,12.3
01.1.6.5.2,Fresh kiwi,9/1/19,Index Numbers,5,Selected period with the corresponding period last year,19.4
01.1.6.5.2,Fresh kiwi,8/1/19,Index Numbers,5,Selected period with the corresponding period last year,8.9
01.1.6.5.2,Fresh kiwi,7/1/19,Index Numbers,5,Selected period with the corresponding period last year,-1.7
01.1.6.5.2,Fresh kiwi,6/1/19,Index Numbers,5,Selected period with the corresponding period last year,2.8
05.3.1,Major household appliances,7/1/24,Index Numbers,3,Selected period with the corresponding period last year,-5.1
05.3.1,Major household appliances,6/1/24,Index Numbers,3,Selected period with the corresponding period last year,-6
05.3.1,Major household appliances,5/1/24,Index Numbers,3,Selected period with the corresponding period last year,-6.9
05.3.1,Major household appliances,4/1/24,Index Numbers,3,Selected period with the corresponding period last year,-5.9
05.3.1,Major household appliances,3/1/24,Index Numbers,3,Selected period with the corresponding period last year,-5.9
05.3.1,Major household appliances,8/1/25,Index Numbers,3,Selected period with the corresponding period last year,-4.8
05.3.1,Major household appliances,7/1/25,Index Numbers,3,Selected period with the corresponding period last year,-4.9
05.3.1,Major household appliances,6/1/25,Index Numbers,3,Selected period with the corresponding period last year,-4.1
05.3.1,Major household appliances,5/1/25,Index Numbers,3,Selected period with the corresponding period last year,-5.6
05.3.1,Major household appliances,4/1/25,Index Numbers,3,Selected period with the corresponding period last year,-4.1
05.3.1,Major household appliances,3/1/25,Index Numbers,3,Selected period with the corresponding period last year,-4.7
05.3.1,Major household appliances,2/1/25,Index Numbers,3,Selected period with the corresponding period last year,-4.4
05.3.1,Major household appliances,1/1/25,Index Numbers,3,Selected period with the corresponding period last year,-4
05.3.1,Major household appliances,12/1/24,Index Numbers,3,Selected period with the corresponding period last year,-4.6
06.4.1.0.0,Diagnostic imaging services and medical laboratory services,7/1/19,Index Numbers,5,Selected period with the corresponding period last year,1.6
06.4.1.0.0,Diagnostic imaging services and medical laboratory services,6/1/19,Index Numbers,5,Selected period with the corresponding period last year,1.3
06.4.1.0.0,Diagnostic imaging services and medical laboratory services,5/1/19,Index Numbers,5,Selected period with the corresponding period last year,1.3
06.4.1.0.0,Diagnostic imaging services and medical laboratory services,4/1/19,Index Numbers,5,Selected period with the corresponding period last year,1.3
06.4.1.0.0,Diagnostic imaging services and medical laboratory services,3/1/19,Index Numbers,5,Selected period with the corresponding period last year,1.1
06.4.1.0.0,Diagnostic imaging services and medical laboratory services,2/1/19,Index Numbers,5,Selected period with the corresponding period last year,1.1
06.4.1.0.0,Diagnostic imaging services and medical laboratory services,1/1/19,Index Numbers,5,Selected period with the corresponding period last year,1.1
0,General Index,7/1/20,Index Numbers,1,Selected period with the corresponding period last year,6.1
0,General Index,6/1/20,Index Numbers,1,Selected period with the corresponding period last year,0
0,General Index,5/1/20,Index Numbers,1,Selected period with the corresponding period last year,0.5
0,General Index,4/1/20,Index Numbers,1,Selected period with the corresponding period last year,0.9
0,General Index,3/1/20,Index Numbers,1,Selected period with the corresponding period last year,1.1
0,General Index,2/1/20,Index Numbers,1,Selected period with the corresponding period last year,0.9
0,General Index,1/1/20,Index Numbers,1,Selected period with the corresponding period last year,0.4
0,General Index,12/1/19,Index Numbers,1,Selected period with the corresponding period last year,-0.4
06.2.1.9.0,Other preventive services,5/1/26,Index Numbers,5,Selected period with the corresponding period last year,1.4
06.2.1.9.0,Other preventive services,4/1/26,Index Numbers,5,Selected period with the corresponding period last year,1.7
06.2.1.9.0,Other preventive services,3/1/26,Index Numbers,5,Selected period with the corresponding period last year,1.3
06.2.1.9.0,Other preventive services,3/1/24,Index Numbers,5,Selected period with the corresponding period last year,-6.6
06.2.1.9.0,Other preventive services,2/1/24,Index Numbers,5,Selected period with the corresponding period last year,-6.8
06.2.1.9.0,Other preventive services,4/1/24,Index Numbers,5,Selected period with the corresponding period last year,-6.9
06.2.1.9.0,Other preventive services,11/1/25,Index Numbers,5,Selected period with the corresponding period last year,1.2
06.2.1.9.0,Other preventive services,10/1/25,Index Numbers,5,Selected period with the corresponding period last year,-3.3
06.2.1.9.0,Other preventive services,9/1/25,Index Numbers,5,Selected period with the corresponding period last year,-3.2
06.2.1.9.0,Other preventive services,8/1/25,Index Numbers,5,Selected period with the corresponding period last year,-3.3
06.2.1.9.0,Other preventive services,7/1/25,Index Numbers,5,Selected period with the corresponding period last year,-2.4
06.2.1.9.0,Other preventive services,6/1/25,Index Numbers,5,Selected period with the corresponding period last year,-2.5
06.2.1.9.0,Other preventive services,5/1/25,Index Numbers,5,Selected period with the corresponding period last year,-1.9
06.2.1.9.0,Other preventive services,4/1/25,Index Numbers,5,Selected period with the corresponding period last year,-3.3
06.2.1.9.0,Other preventive services,3/1/25,Index Numbers,5,Selected period with the corresponding period last year,-3.6
01.1.3.1.0,"Live, fresh, chilled or frozen fish",2/1/26,Index Numbers,5,Selected period with the corresponding period last year,1
01.1.3.1.0,"Live, fresh, chilled or frozen fish",1/1/26,Index Numbers,5,Selected period with the corresponding period last year,0.1
01.1.3.1.0,"Live, fresh, chilled or frozen fish",12/1/25,Index Numbers,5,Selected period with the corresponding period last year,1.8
01.1.3.1.0,"Live, fresh, chilled or frozen fish",11/1/25,Index Numbers,5,Selected period with the corresponding period last year,3.1
01.1.3.1.0,"Live, fresh, chilled or frozen fish",1/1/15,Index Numbers,5,Selected period with the corresponding period last year,2.2
01.1.3.1.0,"Live, fresh, chilled or frozen fish",12/1/14,Index Numbers,5,Selected period with the corresponding period last year,2.7
01.1.3.1.0,"Live, fresh, chilled or frozen fish",11/1/14,Index Numbers,5,Selected period with the corresponding period last year,3.7
01.1.3.1.0,"Live, fresh, chilled or frozen fish",10/1/14,Index Numbers,5,Selected period with the corresponding period last year,4.6
01.1.3.1.0,"Live, fresh, chilled or frozen fish",9/1/14,Index Numbers,5,Selected period with the corresponding period last year,6
01.1.3.1.0,"Live, fresh, chilled or frozen fish",8/1/14,Index Numbers,5,Selected period with the corresponding period last year,2.9
01.1.3.1.0,"Live, fresh, chilled or frozen fish",7/1/14,Index Numbers,5,Selected period with the corresponding period last year,3.9
01.1.3.1.0,"Live, fresh, chilled or frozen fish",6/1/14,Index Numbers,5,Selected period with the corresponding period last year,3.7
01.1.3.1.0,"Live, fresh, chilled or frozen fish",7/1/26,Index Numbers,5,Selected period with the corresponding period last year,1.3
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",6/1/20,Index Numbers,5,Selected period with the corresponding period last year,2.7
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",5/1/20,Index Numbers,5,Selected period with the corresponding period last year,3.4
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",4/1/20,Index Numbers,5,Selected period with the corresponding period last year,2.1
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",3/1/20,Index Numbers,5,Selected period with the corresponding period last year,2.2
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",2/1/20,Index Numbers,5,Selected period with the corresponding period last year,2.4
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",1/1/20,Index Numbers,5,Selected period with the corresponding period last year,1.9
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",5/1/21,Index Numbers,5,Selected period with the corresponding period last year,8.3
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",4/1/21,Index Numbers,5,Selected period with the corresponding period last year,8.9
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",3/1/21,Index Numbers,5,Selected period with the corresponding period last year,9.4
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",2/1/21,Index Numbers,5,Selected period with the corresponding period last year,9.8
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",1/1/21,Index Numbers,5,Selected period with the corresponding period last year,10
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",12/1/20,Index Numbers,5,Selected period with the corresponding period last year,10
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",11/1/20,Index Numbers,5,Selected period with the corresponding period last year,11
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",10/1/24,Index Numbers,5,Selected period with the corresponding period last year,2.7
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",9/1/24,Index Numbers,5,Selected period with the corresponding period last year,2.5
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",8/1/24,Index Numbers,5,Selected period with the corresponding period last year,2.9
01.2.2.0.0,"Coffee, by types (raw beans or prepared)",3/1/23,Index Numbers,5,Selected period with the corresponding period last year,7.5
04.1.1.0.3,Actual rents paid by tenants for main residence - apartment,5/1/26,Index Numbers,5,Selected period with the corresponding period last year,5.5
04.1.1.0.3,Actual rents paid by tenants for main residence - apartment,4/1/26,Index Numbers,5,Selected period with the corresponding period last year,5.7
04.1.1.0.3,Actual rents paid by tenants for main residence - apartment,3/1/26,Index Numbers,5,Selected period with the corresponding period last year,5.9
04.1.1.0.3,Actual rents paid by tenants for main residence - apartment,8/1/20,Index Numbers,5,Selected period with the corresponding period last year,-3.6
04.1.1.0.3,Actual rents paid by tenants for main residence - apartment,7/1/20,Index Numbers,5,Selected period with the corresponding period last year,-3
01.1.6.5.2,Fresh kiwi,5/1/19,Index Numbers,5,Selected period with the corresponding period last year,-7
01.1.6.5.2,Fresh kiwi,2/1/21,Index Numbers,5,Selected period with the corresponding period last year,8.3
01.1.6.5.2,Fresh kiwi,1/1/21,Index Numbers,5,Selected period with the corresponding period last year,7.2
01.1.6.5.2,Fresh kiwi,12/1/20,Index Numbers,5,Selected period with the corresponding period last year,7.6
01.1.6.5.2,Fresh kiwi,11/1/20,Index Numbers,5,Selected period with the corresponding period last year,7.5
01.1.6.5.2,Fresh kiwi,10/1/20,Index Numbers,5,Selected period with the corresponding period last year,5.6
01.1.6.5.2,Fresh kiwi,9/1/20,Index Numbers,5,Selected period with the corresponding period last year,10.7
01.1.6.5.2,Fresh kiwi,8/1/20,Index Numbers,5,Selected period with the corresponding period last year,11.9
01.1.6.5.2,Fresh kiwi,7/1/20,Index Numbers,5,Selected period with the corresponding period last year,26.5
01.1.6.5.2,Fresh kiwi,6/1/20,Index Numbers,5,Selected period with the corresponding period last year,21.3
01.1.6.5.2,Fresh kiwi,5/1/20,Index Numbers,5,Selected period with the corresponding period last year,23.3
01.1.6.5.2,Fresh kiwi,4/1/20,Index Numbers,5,Selected period with the corresponding period last year,27.4
01.1.6.5.2,Fresh kiwi,8/1/21,Index Numbers,5,Selected period with the corresponding period last year,15
01.1.6.5.2,Fresh kiwi,7/1/21,Index Numbers,5,Selected period with the corresponding period last year,18.3
01.1.6.5.2,Fresh kiwi,6/1/21,Index Numbers,5,Selected period with the corresponding period last year,18.4
01.1.6.5.2,Fresh kiwi,5/1/21,Index Numbers,5,Selected period with the corresponding period last year,11
01.1.6.5.2,Fresh kiwi,4/1/21,Index Numbers,5,Selected period with the corresponding period last year,4.4
01.1.6.5.2,Fresh kiwi,3/1/21,Index Numbers,5,Selected period with the corresponding period last year,12.8
01.1.6.5.2,Fresh kiwi,12/1/21,Index Numbers,5,Selected period with the corresponding period last year,7.7
01.1.6.5.2,Fresh kiwi,11/1/21,Index Numbers,5,Selected period with the corresponding period last year,5.1
01.1.6.5.2,Fresh kiwi,10/1/21,Index Numbers,5,Selected period with the corresponding period last year,6.5
05.3.1,Major household appliances,2/1/26,Index Numbers,3,Selected period with the corresponding period last year,-4.2
05.3.1,Major household appliances,1/1/26,Index Numbers,3,Selected period with the corresponding period last year,-4.8
05.3.1,Major household appliances,12/1/25,Index Numbers,3,Selected period with the corresponding period last year,-4.1
05.3.1,Major household appliances,11/1/25,Index Numbers,3,Selected period with the corresponding period last year,-5.2
05.3.1,Major household appliances,10/1/25,Index Numbers,3,Selected period with the corresponding period last year,-6
05.3.1,Major household appliances,9/1/25,Index Numbers,3,Selected period with the corresponding period last year,-5.5
