,,,,,,
CL_ADMIN_PRICES_EN,Index Numbers,,,,,
Indicator Name,Selected period with the corresponding period last year,,,,,
,,,,,,
Item Code,Item Name,YEAR_MONTH,CL_ADMIN_PRICES_E,D_BASKET_LVL,Indicator Name,OBS_VALUE
05.3.2.2.0,Small appliances for preparing beverages,3/1/17,Index Numbers,5,Selected period with the corresponding period last year,-2.8
05.3.2.2.0,Small appliances for preparing beverages,2/1/17,Index Numbers,5,Selected period with the corresponding period last year,-4.3
05.3.2.2.0,Small appliances for preparing beverages,1/1/17,Index Numbers,5,Selected period with the corresponding period last year,-4.8
05.3.2.2.0,Small appliances for preparing beverages,12/1/16,Index Numbers,5,Selected period with the corresponding period last year,-4.3
05.3.2.2.0,Small appliances for preparing beverages,11/1/16,Index Numbers,5,Selected period with the corresponding period last year,-4.3
05.3.2.2.0,Small appliances for preparing beverages,10/1/16,Index Numbers,5,Selected period with the corresponding period last year,-2.5
05.3.2.2.0,Small appliances for preparing beverages,9/1/16,Index Numbers,5,Selected period with the corresponding period last year,-1.1
05.3.2.2.0,Small appliances for preparing beverages,8/1/16,Index Numbers,5,Selected period with the corresponding period last year,0.4
05.3.2.2.0,Small appliances for preparing beverages,7/1/16,Index Numbers,5,Selected period with the corresponding period last year,2.9
05.3.2.2.0,Small appliances for preparing beverages,6/1/16,Index Numbers,5,Selected period with the corresponding period last year,1.5
05.3.2.2.0,Small appliances for preparing beverages,5/1/16,Index Numbers,5,Selected period with the corresponding period last year,3.6
01.1.1.2,Flour of cereals,2/1/20,Index Numbers,4,Selected period with the corresponding period last year,2
01.1.1.2,Flour of cereals,1/1/20,Index Numbers,4,Selected period with the corresponding period last year,2.2
01.1.1.2,Flour of cereals,12/1/19,Index Numbers,4,Selected period with the corresponding period last year,2
01.1.1.2,Flour of cereals,2/1/21,Index Numbers,4,Selected period with the corresponding period last year,10.8
01.1.1.2,Flour of cereals,3/1/21,Index Numbers,4,Selected period with the corresponding period last year,10.6
01.1.1.2,Flour of cereals,9/1/20,Index Numbers,4,Selected period with the corresponding period last year,10.9
01.1.1.2,Flour of cereals,8/1/20,Index Numbers,4,Selected period with the corresponding period last year,12
01.1.1.2,Flour of cereals,5/1/21,Index Numbers,4,Selected period with the corresponding period last year,11
01.1.1.2,Flour of cereals,4/1/21,Index Numbers,4,Selected period with the corresponding period last year,10.8
01.1.1.2,Flour of cereals,5/1/20,Index Numbers,4,Selected period with the corresponding period last year,1.9
01.1.1.2,Flour of cereals,4/1/20,Index Numbers,4,Selected period with the corresponding period last year,1.5
01.1.1.2,Flour of cereals,11/1/19,Index Numbers,4,Selected period with the corresponding period last year,1.1
01.1.1.2,Flour of cereals,10/1/19,Index Numbers,4,Selected period with the corresponding period last year,1
01.1.1.2,Flour of cereals,1/1/21,Index Numbers,4,Selected period with the corresponding period last year,9.7
01.1.1.2,Flour of cereals,12/1/20,Index Numbers,4,Selected period with the corresponding period last year,10.8
01.1.1.2,Flour of cereals,11/1/20,Index Numbers,4,Selected period with the corresponding period last year,12.1
01.1.1.2,Flour of cereals,10/1/20,Index Numbers,4,Selected period with the corresponding period last year,11.5
01.1.1.2,Flour of cereals,3/1/20,Index Numbers,4,Selected period with the corresponding period last year,1.8
01.1.1.2,Flour of cereals,9/1/19,Index Numbers,4,Selected period with the corresponding period last year,0.1
04.4.1.1,Water supply through network systems,7/1/26,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,6/1/26,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,5/1/26,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,4/1/26,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,3/1/26,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,7/1/23,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,6/1/23,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,5/1/23,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,4/1/23,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,3/1/23,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,2/1/23,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,1/1/23,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,12/1/22,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,11/1/22,Index Numbers,4,Selected period with the corresponding period last year,0
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",2/1/16,Index Numbers,5,Selected period with the corresponding period last year,-3.9
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",1/1/16,Index Numbers,5,Selected period with the corresponding period last year,-3.4
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",12/1/15,Index Numbers,5,Selected period with the corresponding period last year,-4.1
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",11/1/15,Index Numbers,5,Selected period with the corresponding period last year,-2.1
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",10/1/25,Index Numbers,5,Selected period with the corresponding period last year,-4.2
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",9/1/25,Index Numbers,5,Selected period with the corresponding period last year,-4.8
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",8/1/25,Index Numbers,5,Selected period with the corresponding period last year,-4
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",7/1/25,Index Numbers,5,Selected period with the corresponding period last year,-4
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",6/1/25,Index Numbers,5,Selected period with the corresponding period last year,-3.7
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",5/1/25,Index Numbers,5,Selected period with the corresponding period last year,-3.2
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",4/1/25,Index Numbers,5,Selected period with the corresponding period last year,-4.1
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",11/1/16,Index Numbers,5,Selected period with the corresponding period last year,-0.4
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",10/1/16,Index Numbers,5,Selected period with the corresponding period last year,-1.1
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",9/1/16,Index Numbers,5,Selected period with the corresponding period last year,-1.8
05.5,TOOLS AND EQUIPMENT FOR HOUSE AND GARDE,3/1/22,Index Numbers,2,Selected period with the corresponding period last year,-3.9
05.5,TOOLS AND EQUIPMENT FOR HOUSE AND GARDE,2/1/22,Index Numbers,2,Selected period with the corresponding period last year,-3.5
05.5,TOOLS AND EQUIPMENT FOR HOUSE AND GARDE,1/1/22,Index Numbers,2,Selected period with the corresponding period last year,-3.8
05.5,TOOLS AND EQUIPMENT FOR HOUSE AND GARDE,12/1/21,Index Numbers,2,Selected period with the corresponding period last year,-3.3
05.5,TOOLS AND EQUIPMENT FOR HOUSE AND GARDE,11/1/21,Index Numbers,2,Selected period with the corresponding period last year,-3.8
05.5,TOOLS AND EQUIPMENT FOR HOUSE AND GARDE,10/1/21,Index Numbers,2,Selected period with the corresponding period last year,-3.9
05.5,TOOLS AND EQUIPMENT FOR HOUSE AND GARDE,9/1/21,Index Numbers,2,Selected period with the corresponding period last year,-4.4
05.5,TOOLS AND EQUIPMENT FOR HOUSE AND GARDE,8/1/21,Index Numbers,2,Selected period with the corresponding period last year,-4.5
05.5,TOOLS AND EQUIPMENT FOR HOUSE AND GARDE,7/1/21,Index Numbers,2,Selected period with the corresponding period last year,-4.9
04.4.3.1.0,Sewage collection through sewer systems,7/1/17,Index Numbers,5,Selected period with the corresponding period last year,-0.4
04.4.3.1.0,Sewage collection through sewer systems,6/1/17,Index Numbers,5,Selected period with the corresponding period last year,3.9
04.4.3.1.0,Sewage collection through sewer systems,5/1/17,Index Numbers,5,Selected period with the corresponding period last year,3.9
04.4.3.1.0,Sewage collection through sewer systems,4/1/17,Index Numbers,5,Selected period with the corresponding period last year,3.9
04.4.3.1.0,Sewage collection through sewer systems,3/1/17,Index Numbers,5,Selected period with the corresponding period last year,4.2
04.4.3.1.0,Sewage collection through sewer systems,6/1/16,Index Numbers,5,Selected period with the corresponding period last year,0
04.4.3.1.0,Sewage collection through sewer systems,5/1/16,Index Numbers,5,Selected period with the corresponding period last year,0
04.4.3.1.0,Sewage collection through sewer systems,4/1/16,Index Numbers,5,Selected period with the corresponding period last year,0
04.4.3.1.0,Sewage collection through sewer systems,3/1/16,Index Numbers,5,Selected period with the corresponding period last year,0
04.4.3.1.0,Sewage collection through sewer systems,2/1/16,Index Numbers,5,Selected period with the corresponding period last year,0
04.4.3.1.0,Sewage collection through sewer systems,1/1/16,Index Numbers,5,Selected period with the corresponding period last year,0
04.4.3.1.0,Sewage collection through sewer systems,12/1/15,Index Numbers,5,Selected period with the corresponding period last year,0.1
04.4.3.1.0,Sewage collection through sewer systems,11/1/15,Index Numbers,5,Selected period with the corresponding period last year,0.1
04.4.3.1.0,Sewage collection through sewer systems,2/1/17,Index Numbers,5,Selected period with the corresponding period last year,4.2
04.4.3.1.0,Sewage collection through sewer systems,1/1/17,Index Numbers,5,Selected period with the corresponding period last year,4.2
04.4.3.1.0,Sewage collection through sewer systems,12/1/16,Index Numbers,5,Selected period with the corresponding period last year,4.2
04.4.3.1.0,Sewage collection through sewer systems,10/1/15,Index Numbers,5,Selected period with the corresponding period last year,0.1
07.3.2.1.2,Passenger transport by bus and coach ? tickets and monthly subscriptions,2/1/25,Index Numbers,5,Selected period with the corresponding period last year,-1.5
07.3.2.1.2,Passenger transport by bus and coach ? tickets and monthly subscriptions,1/1/25,Index Numbers,5,Selected period with the corresponding period last year,-1.7
07.3.2.1.2,Passenger transport by bus and coach ? tickets and monthly subscriptions,9/1/25,Index Numbers,5,Selected period with the corresponding period last year,-0.8
07.3.2.1.2,Passenger transport by bus and coach ? tickets and monthly subscriptions,8/1/25,Index Numbers,5,Selected period with the corresponding period last year,-0.8
07.3.2.2,Passenger transport by taxi and hired car with driver,7/1/26,Index Numbers,4,Selected period with the corresponding period last year,4.8
07.3.2.2,Passenger transport by taxi and hired car with driver,6/1/26,Index Numbers,4,Selected period with the corresponding period last year,6.3
07.3.2.2,Passenger transport by taxi and hired car with driver,5/1/26,Index Numbers,4,Selected period with the corresponding period last year,4.8
07.3.2.2,Passenger transport by taxi and hired car with driver,4/1/26,Index Numbers,4,Selected period with the corresponding period last year,9.8
07.3.2.2,Passenger transport by taxi and hired car with driver,3/1/26,Index Numbers,4,Selected period with the corresponding period last year,7
10.3,POST-SECONDARY NON-TERTIARY EDUCATIO,5/1/25,Index Numbers,2,Selected period with the corresponding period last year,-1.5
10.3,POST-SECONDARY NON-TERTIARY EDUCATIO,4/1/25,Index Numbers,2,Selected period with the corresponding period last year,-1.5
10.3,POST-SECONDARY NON-TERTIARY EDUCATIO,3/1/25,Index Numbers,2,Selected period with the corresponding period last year,-1.5
10.3,POST-SECONDARY NON-TERTIARY EDUCATIO,2/1/25,Index Numbers,2,Selected period with the corresponding period last year,-5
10.3,POST-SECONDARY NON-TERTIARY EDUCATIO,1/1/25,Index Numbers,2,Selected period with the corresponding period last year,-1.1
10.3,POST-SECONDARY NON-TERTIARY EDUCATIO,12/1/24,Index Numbers,2,Selected period with the corresponding period last year,-4.4
10.3,POST-SECONDARY NON-TERTIARY EDUCATIO,11/1/24,Index Numbers,2,Selected period with the corresponding period last year,-4.4
10.3,POST-SECONDARY NON-TERTIARY EDUCATIO,10/1/24,Index Numbers,2,Selected period with the corresponding period last year,-4.4
06.3,INPATIENT CARE SERVICES,7/1/26,Index Numbers,2,Selected period with the corresponding period last year,0.3
06.3,INPATIENT CARE SERVICES,6/1/26,Index Numbers,2,Selected period with the corresponding period last year,0.2
06.3,INPATIENT CARE SERVICES,5/1/26,Index Numbers,2,Selected period with the corresponding period last year,0.1
06.3,INPATIENT CARE SERVICES,4/1/26,Index Numbers,2,Selected period with the corresponding period last year,0.2
06.3,INPATIENT CARE SERVICES,3/1/26,Index Numbers,2,Selected period with the corresponding period last year,0.3
05.3.2.2.0,Small appliances for preparing beverages,4/1/16,Index Numbers,5,Selected period with the corresponding period last year,2.4
05.3.2.2.0,Small appliances for preparing beverages,3/1/16,Index Numbers,5,Selected period with the corresponding period last year,3.6
05.3.2.2.0,Small appliances for preparing beverages,2/1/16,Index Numbers,5,Selected period with the corresponding period last year,7
05.3.2.2.0,Small appliances for preparing beverages,1/1/16,Index Numbers,5,Selected period with the corresponding period last year,8
05.3.2.2.0,Small appliances for preparing beverages,12/1/15,Index Numbers,5,Selected period with the corresponding period last year,8.5
05.3.2.2.0,Small appliances for preparing beverages,11/1/15,Index Numbers,5,Selected period with the corresponding period last year,7.7
05.3.2.2.0,Small appliances for preparing beverages,10/1/15,Index Numbers,5,Selected period with the corresponding period last year,8.2
05.3.2.2.0,Small appliances for preparing beverages,9/1/15,Index Numbers,5,Selected period with the corresponding period last year,4.3
05.3.2.2.0,Small appliances for preparing beverages,8/1/15,Index Numbers,5,Selected period with the corresponding period last year,4.3
05.3.2.2.0,Small appliances for preparing beverages,7/1/15,Index Numbers,5,Selected period with the corresponding period last year,3.7
05.3.2.2.0,Small appliances for preparing beverages,6/1/15,Index Numbers,5,Selected period with the corresponding period last year,3.4
05.3.2.2.0,Small appliances for preparing beverages,5/1/15,Index Numbers,5,Selected period with the corresponding period last year,4.3
05.3.2.2.0,Small appliances for preparing beverages,4/1/15,Index Numbers,5,Selected period with the corresponding period last year,5.8
05.3.2.2.0,Small appliances for preparing beverages,3/1/15,Index Numbers,5,Selected period with the corresponding period last year,4.5
05.3.2.2.0,Small appliances for preparing beverages,2/1/15,Index Numbers,5,Selected period with the corresponding period last year,3.8
05.3.2.2.0,Small appliances for preparing beverages,6/1/14,Index Numbers,5,Selected period with the corresponding period last year,-1.7
05.3.2.2.0,Small appliances for preparing beverages,2/1/26,Index Numbers,5,Selected period with the corresponding period last year,-6.8
01.1.1.2,Flour of cereals,8/1/19,Index Numbers,4,Selected period with the corresponding period last year,-1.2
01.1.1.2,Flour of cereals,7/1/19,Index Numbers,4,Selected period with the corresponding period last year,-2.5
01.1.1.2,Flour of cereals,6/1/19,Index Numbers,4,Selected period with the corresponding period last year,-0.9
01.1.1.2,Flour of cereals,5/1/19,Index Numbers,4,Selected period with the corresponding period last year,-0.3
01.1.1.2,Flour of cereals,4/1/19,Index Numbers,4,Selected period with the corresponding period last year,-0.8
01.1.1.2,Flour of cereals,3/1/19,Index Numbers,4,Selected period with the corresponding period last year,-1.6
01.1.1.2,Flour of cereals,2/1/19,Index Numbers,4,Selected period with the corresponding period last year,-2.1
01.1.1.2,Flour of cereals,1/1/19,Index Numbers,4,Selected period with the corresponding period last year,-1.1
01.1.1.2,Flour of cereals,12/1/18,Index Numbers,4,Selected period with the corresponding period last year,15.8
01.1.1.2,Flour of cereals,11/1/18,Index Numbers,4,Selected period with the corresponding period last year,16.4
01.1.1.2,Flour of cereals,7/1/20,Index Numbers,4,Selected period with the corresponding period last year,13.1
01.1.1.2,Flour of cereals,6/1/20,Index Numbers,4,Selected period with the corresponding period last year,2.3
01.1.1.2,Flour of cereals,12/1/17,Index Numbers,4,Selected period with the corresponding period last year,1.3
01.1.1.2,Flour of cereals,10/1/18,Index Numbers,4,Selected period with the corresponding period last year,16.9
01.1.1.2,Flour of cereals,9/1/18,Index Numbers,4,Selected period with the corresponding period last year,18.2
01.1.1.2,Flour of cereals,8/1/18,Index Numbers,4,Selected period with the corresponding period last year,19.2
01.1.1.2,Flour of cereals,7/1/18,Index Numbers,4,Selected period with the corresponding period last year,19.8
01.1.1.2,Flour of cereals,6/1/18,Index Numbers,4,Selected period with the corresponding period last year,18.9
01.1.1.2,Flour of cereals,5/1/18,Index Numbers,4,Selected period with the corresponding period last year,18
01.1.1.2,Flour of cereals,4/1/18,Index Numbers,4,Selected period with the corresponding period last year,19.4
01.1.1.2,Flour of cereals,3/1/18,Index Numbers,4,Selected period with the corresponding period last year,20.1
04.4.1.1,Water supply through network systems,10/1/22,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,9/1/22,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,8/1/22,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,7/1/22,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,6/1/22,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,5/1/22,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,4/1/22,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,10/1/23,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,9/1/23,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,8/1/23,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,3/1/22,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,2/1/22,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,1/1/22,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,12/1/21,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,11/1/21,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,10/1/21,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,9/1/21,Index Numbers,4,Selected period with the corresponding period last year,0
04.4.1.1,Water supply through network systems,8/1/21,Index Numbers,4,Selected period with the corresponding period last year,0
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",8/1/16,Index Numbers,5,Selected period with the corresponding period last year,-0.9
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",7/1/16,Index Numbers,5,Selected period with the corresponding period last year,1.1
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",6/1/16,Index Numbers,5,Selected period with the corresponding period last year,-1.3
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",5/1/16,Index Numbers,5,Selected period with the corresponding period last year,-0.8
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",7/1/17,Index Numbers,5,Selected period with the corresponding period last year,-1.1
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",2/1/26,Index Numbers,5,Selected period with the corresponding period last year,-2.4
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",1/1/26,Index Numbers,5,Selected period with the corresponding period last year,-1.2
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",12/1/25,Index Numbers,5,Selected period with the corresponding period last year,-3.6
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",11/1/25,Index Numbers,5,Selected period with the corresponding period last year,-2.9
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",6/1/17,Index Numbers,5,Selected period with the corresponding period last year,-0.9
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",5/1/17,Index Numbers,5,Selected period with the corresponding period last year,-1.3
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",4/1/17,Index Numbers,5,Selected period with the corresponding period last year,-0.4
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",3/1/17,Index Numbers,5,Selected period with the corresponding period last year,-0.6
04.5.4.2.1,"Wood fuel, including pellets and briquettes (such as chips, particles or sawdust)",2/1/17,Index Numbers,5,Selected period with the corresponding period last year,-1.1
04.4.3.1.0,Sewage collection through sewer systems,9/1/15,Index Numbers,5,Selected period with the corresponding period last year,2.2
04.4.3.1.0,Sewage collection through sewer systems,8/1/15,Index Numbers,5,Selected period with the corresponding period last year,2.2
04.4.3.1.0,Sewage collection through sewer systems,7/1/15,Index Numbers,5,Selected period with the corresponding period last year,2.2
04.4.3.1.0,Sewage collection through sewer systems,6/1/15,Index Numbers,5,Selected period with the corresponding period last year,2.3
04.4.3.1.0,Sewage collection through sewer systems,5/1/15,Index Numbers,5,Selected period with the corresponding period last year,2.3
04.4.3.1.0,Sewage collection through sewer systems,4/1/15,Index Numbers,5,Selected period with the corresponding period last year,2.3
04.4.3.1.0,Sewage collection through sewer systems,3/1/15,Index Numbers,5,Selected period with the corresponding period last year,2.3
04.4.3.1.0,Sewage collection through sewer systems,2/1/15,Index Numbers,5,Selected period with the corresponding period last year,2.3
04.4.3.1.0,Sewage collection through sewer systems,2/1/25,Index Numbers,5,Selected period with the corresponding period last year,-0.2
04.4.3.1.0,Sewage collection through sewer systems,1/1/25,Index Numbers,5,Selected period with the corresponding period last year,-0.2
04.4.3.1.0,Sewage collection through sewer systems,2/1/26,Index Numbers,5,Selected period with the corresponding period last year,4.2
04.4.3.1.0,Sewage collection through sewer systems,1/1/26,Index Numbers,5,Selected period with the corresponding period last year,4.2
04.4.3.1.0,Sewage collection through sewer systems,12/1/25,Index Numbers,5,Selected period with the corresponding period last year,4.2
04.4.3.1.0,Sewage collection through sewer systems,11/1/25,Index Numbers,5,Selected period with the corresponding period last year,4.2
04.4.3.1.0,Sewage collection through sewer systems,10/1/25,Index Numbers,5,Selected period with the corresponding period last year,4.2
04.4.3.1.0,Sewage collection through sewer systems,9/1/25,Index Numbers,5,Selected period with the corresponding period last year,4.1
04.4.3.1.0,Sewage collection through sewer systems,8/1/25,Index Numbers,5,Selected period with the corresponding period last year,4.1
07.3.2.2,Passenger transport by taxi and hired car with driver,4/1/21,Index Numbers,4,Selected period with the corresponding period last year,2.8
07.3.2.2,Passenger transport by taxi and hired car with driver,3/1/21,Index Numbers,4,Selected period with the corresponding period last year,4.8
07.3.2.2,Passenger transport by taxi and hired car with driver,2/1/21,Index Numbers,4,Selected period with the corresponding period last year,4.8
07.3.2.2,Passenger transport by taxi and hired car with driver,1/1/21,Index Numbers,4,Selected period with the corresponding period last year,-4
07.3.2.2,Passenger transport by taxi and hired car with driver,12/1/20,Index Numbers,4,Selected period with the corresponding period last year,0.9
07.3.2.2,Passenger transport by taxi and hired car with driver,11/1/20,Index Numbers,4,Selected period with the corresponding period last year,0.8
07.3.2.2,Passenger transport by taxi and hired car with driver,10/1/20,Index Numbers,4,Selected period with the corresponding period last year,0.8
07.3.2.2,Passenger transport by taxi and hired car with driver,9/1/20,Index Numbers,4,Selected period with the corresponding period last year,0.7
07.3.2.2,Passenger transport by taxi and hired car with driver,1/1/20,Index Numbers,4,Selected period with the corresponding period last year,8
07.3.2.2,Passenger transport by taxi and hired car with driver,8/1/20,Index Numbers,4,Selected period with the corresponding period last year,0.7
07.3.2.2,Passenger transport by taxi and hired car with driver,7/1/20,Index Numbers,4,Selected period with the corresponding period last year,0.7
07.3.2.2,Passenger transport by taxi and hired car with driver,6/1/20,Index Numbers,4,Selected period with the corresponding period last year,0.7
07.3.2.2,Passenger transport by taxi and hired car with driver,5/1/20,Index Numbers,4,Selected period with the corresponding period last year,0.7
07.3.2.2,Passenger transport by taxi and hired car with driver,4/1/20,Index Numbers,4,Selected period with the corresponding period last year,0.7
07.3.2.2,Passenger transport by taxi and hired car with driver,3/1/20,Index Numbers,4,Selected period with the corresponding period last year,-1
07.3.2.2,Passenger transport by taxi and hired car with driver,2/1/20,Index Numbers,4,Selected period with the corresponding period last year,-1
10.3,POST-SECONDARY NON-TERTIARY EDUCATIO,9/1/24,Index Numbers,2,Selected period with the corresponding period last year,-3.8
10.4,TERTIARY EDUCATIO,8/1/23,Index Numbers,2,Selected period with the corresponding period last year,8.7
10.4,TERTIARY EDUCATIO,7/1/23,Index Numbers,2,Selected period with the corresponding period last year,8.7
10.4,TERTIARY EDUCATIO,6/1/23,Index Numbers,2,Selected period with the corresponding period last year,8.7
10.4,TERTIARY EDUCATIO,5/1/23,Index Numbers,2,Selected period with the corresponding period last year,8.7
10.4,TERTIARY EDUCATIO,4/1/23,Index Numbers,2,Selected period with the corresponding period last year,8.7
10.4,TERTIARY EDUCATIO,3/1/23,Index Numbers,2,Selected period with the corresponding period last year,8.7
10.4,TERTIARY EDUCATIO,2/1/23,Index Numbers,2,Selected period with the corresponding period last year,8.7
10.4,TERTIARY EDUCATIO,1/1/23,Index Numbers,2,Selected period with the corresponding period last year,8.7
10.4,TERTIARY EDUCATIO,12/1/22,Index Numbers,2,Selected period with the corresponding period last year,8.7
10.4,TERTIARY EDUCATIO,11/1/22,Index Numbers,2,Selected period with the corresponding period last year,8.7
10.4,TERTIARY EDUCATIO,10/1/22,Index Numbers,2,Selected period with the corresponding period last year,8.7
05.3.2.2.0,Small appliances for preparing beverages,1/1/26,Index Numbers,5,Selected period with the corresponding period last year,-7.3
05.3.2.2.0,Small appliances for preparing beverages,12/1/25,Index Numbers,5,Selected period with the corresponding period last year,-5.3
05.3.2.2.0,Small appliances for preparing beverages,5/1/14,Index Numbers,5,Selected period with the corresponding period last year,-3.3
05.3.2.2.0,Small appliances for preparing beverages,1/1/15,Index Numbers,5,Selected period with the corresponding period last year,2.7
05.3.2.2.0,Small appliances for preparing beverages,12/1/14,Index Numbers,5,Selected period with the corresponding period last year,1.5
05.3.2.2.0,Small appliances for preparing beverages,11/1/14,Index Numbers,5,Selected period with the corresponding period last year,1.6
05.3.2.2.0,Small appliances for preparing beverages,10/1/14,Index Numbers,5,Selected period with the corresponding period last year,-0.5
05.3.2.2.0,Small appliances for preparing beverages,9/1/14,Index Numbers,5,Selected period with the corresponding period last year,1.9
05.3.2.2.0,Small appliances for preparing beverages,8/1/14,Index Numbers,5,Selected period with the corresponding period last year,1
05.3.2.2.0,Small appliances for preparing beverages,7/1/14,Index Numbers,5,Selected period with the corresponding period last year,-0.3
05.3.2.9,Other small household appliances,4/1/25,Index Numbers,4,Selected period with the corresponding period last year,-7
05.3.2.9,Other small household appliances,8/1/24,Index Numbers,4,Selected period with the corresponding period last year,4.4
05.3.2.9,Other small household appliances,7/1/24,Index Numbers,4,Selected period with the corresponding period last year,-0.5
05.3.2.9,Other small household appliances,6/1/24,Index Numbers,4,Selected period with the corresponding period last year,-1.2
05.3.2.9,Other small household appliances,5/1/24,Index Numbers,4,Selected period with the corresponding period last year,4.7
05.3.2.9,Other small household appliances,4/1/24,Index Numbers,4,Selected period with the corresponding period last year,5.7
05.3.2.9,Other small household appliances,3/1/24,Index Numbers,4,Selected period with the corresponding period last year,2.9
05.3.2.9,Other small household appliances,2/1/24,Index Numbers,4,Selected period with the corresponding period last year,1.8
01.1.1.2,Flour of cereals,2/1/18,Index Numbers,4,Selected period with the corresponding period last year,20.1
01.1.1.2,Flour of cereals,1/1/18,Index Numbers,4,Selected period with the corresponding period last year,19.3
01.1.1.2,Flour of cereals,12/1/16,Index Numbers,4,Selected period with the corresponding period last year,-0.9
01.1.1.2,Flour of cereals,11/1/16,Index Numbers,4,Selected period with the corresponding period last year,-0.4
01.1.1.2,Flour of cereals,10/1/16,Index Numbers,4,Selected period with the corresponding period last year,-0.3
01.1.1.2,Flour of cereals,9/1/16,Index Numbers,4,Selected period with the corresponding period last year,-0.8
