year,quarter,year_quarter,usd_sar,eur_sar,gbp_sar,cny_sar,aed_sar
2013,Q1,2013-Q1,3.7499531255859297,4.946248023561727,5.822227972570837,0.6021952022439131,1.0211062665291577
2013,Q2,2013-Q2,3.7499531255859297,4.894099222214693,5.756983188976453,0.6089799786120877,1.0211062665291575
2013,Q3,2013-Q3,3.7499531255859297,4.963242335162359,5.809276404108421,0.6119629443133676,1.0211062665291577
2013,Q4,2013-Q4,3.7499531255859297,5.1021483371987655,6.069266159751002,0.615395729554982,1.0211062665291577
2014,Q1,2014-Q1,3.7499531255859297,5.13535658774955,6.203281535932509,0.6146730656409367,1.0211062665291577
2014,Q2,2014-Q2,3.7499531255859297,5.1434630541092305,6.307215454479925,0.602165280473368,1.0211062665291575
2014,Q3,2014-Q3,3.7499531255859297,4.971906028814358,6.261847313020899,0.6082294770482624,1.0211062665291577
2014,Q4,2014-Q4,3.7499531255859297,4.685021426334404,5.9369010667062465,0.6099428642651714,1.0211062665291577
2015,Q1,2015-Q1,3.7499531255859297,4.229134507623015,5.685558302873481,0.60178932024553,1.0211062665291577
2015,Q2,2015-Q2,3.7499531255859297,4.143256508555142,5.742382823838839,0.6049622862521988,1.0211062665291575
2015,Q3,2015-Q3,3.7499531255859297,4.1669025646832365,5.81146349074398,0.5950148106947445,1.0211062665291577
2015,Q4,2015-Q4,3.7499531255859297,4.105224031446016,5.6907134360837,0.5865087683060861,1.0211062665291577
2016,Q1,2016-Q1,3.7499531255859297,4.133366945328273,5.372446316863342,0.5732240134247804,1.0211062665291575
2016,Q2,2016-Q2,3.7499531255859297,4.232967654545184,5.381704805803252,0.5740741792158651,1.0211062665291575
2016,Q3,2016-Q3,3.7499531255859297,4.1871263160433845,4.93156911808535,0.5625352731017034,1.0211062665291577
2016,Q4,2016-Q4,3.7499531255859297,4.047701279645562,4.6603940464479185,0.5489941472450042,1.0211062665291577
2017,Q1,2017-Q1,3.7499531255859297,3.995255412239332,4.643373441761262,0.5444649391802415,1.0211062665291577
2017,Q2,2017-Q2,3.7499531255859297,4.120729215109764,4.7913650125049365,0.5463913254672996,1.0211062665291575
2017,Q3,2017-Q3,3.7499531255859297,4.399604609446621,4.902300351153905,0.5619010333482156,1.0211062665291577
2017,Q4,2017-Q4,3.7499531255859297,4.41559800395772,4.978007487572566,0.5669772716067643,1.0211062665291577
2018,Q1,2018-Q1,3.7499531255859297,4.606775850666755,5.213870052978713,0.5894828401545231,1.0211062665291577
2018,Q2,2018-Q2,3.7499531255859297,4.472570853386178,5.103697600869535,0.5882371953367658,1.0211062665291575
2018,Q3,2018-Q3,3.7499531255859297,4.360108983767598,4.886170808847156,0.5510443788382188,1.0211062665291577
2018,Q4,2018-Q4,3.7499531255859297,4.28065858862964,4.825528303559299,0.5422638691352247,1.0211062665291577
2019,Q1,2019-Q1,3.7499531255859297,4.259953736902418,4.879471629125458,0.5555847066049762,1.0211062665291577
2019,Q2,2019-Q2,3.7499531255859297,4.213555981953015,4.8196063705662935,0.5496529937967733,1.0211062665291575
2019,Q3,2019-Q3,3.7499531255859297,4.170502849314746,4.62402411730144,0.5347938631241611,1.0211062665291577
2019,Q4,2019-Q4,3.7499531255859297,4.151993656475779,4.824275755602191,0.5325519484165552,1.0211062665291577
2020,Q1,2020-Q1,3.7499531255859297,4.135388060725674,4.7995881847852,0.537373119415527,1.0211062665291575
2020,Q2,2020-Q2,3.7499531255859297,4.125167556599792,4.651638296784747,0.5288480817052852,1.0211062665291575
2020,Q3,2020-Q3,3.7499531255859297,4.378371226867208,4.839364654543005,0.541610714943805,1.0211062665291577
2020,Q4,2020-Q4,3.7499531255859297,4.468998026354458,4.947845939136117,0.5659013670823787,1.0211062665291577
2021,Q1,2021-Q1,3.7499531255859297,4.522222199890261,5.168810478672052,0.5784065413923789,1.0211062665291577
2021,Q2,2021-Q2,3.7499531255859297,4.516243339161438,5.240190765977687,0.5802069107106196,1.0211062665291575
2021,Q3,2021-Q3,3.7499531255859297,4.419953206147579,5.1704390264737725,0.5795527490643688,1.0211062665291577
2021,Q4,2021-Q4,3.7499531255859297,4.288156670600584,5.054128618783559,0.5864635292992717,1.0211062665291577
2022,Q1,2022-Q1,3.7499531255859297,4.207579533772138,5.031668764127109,0.5906736567424741,1.0211062665291577
2022,Q2,2022-Q2,3.7499531255859297,3.9980405207996954,4.717839499100241,0.5676048572005977,1.0211062665291575
2022,Q3,2022-Q3,3.7499531255859297,3.7825276823466147,4.419033931936309,0.5477791425946512,1.0211062665291577
2022,Q4,2022-Q4,3.7499531255859297,3.821613717931676,4.39119431894008,0.5268595277964215,1.0211062665291577
2023,Q1,2023-Q1,3.7499531255859297,4.021979672020964,4.554282493034478,0.5478258011343646,1.0211062665291577
2023,Q2,2023-Q2,3.7499531255859297,4.0845914398633685,4.694668558979224,0.5354462473749896,1.0211062665291575
2023,Q3,2023-Q3,3.7499531255859297,4.082737564292023,4.749845759084725,0.5179620221237343,1.0211062665291577
2023,Q4,2023-Q4,3.7499531255859297,4.03450554722586,4.654172237761424,0.5193274483749002,1.0211062665291577
2024,Q1,2024-Q1,3.7499531255859297,4.073668033658347,4.757759461275236,0.5218614050802921,1.0211062665291575
2024,Q2,2024-Q2,3.7499531255859297,4.039403269164527,4.734533164624401,0.5180093640154264,1.0211062665291575
2024,Q3,2024-Q3,3.7499531255859297,4.119438645886785,4.873929457287955,0.5235089667981508,1.0211062665291577
2024,Q4,2024-Q4,3.7499531255859297,4.004769157705633,4.8105757370246485,0.5217850948684705,1.0211062665291577
2025,Q1,2025-Q1,3.7499531255859297,3.944648689587705,4.722780647304315,0.515559883712604,1.0211062665291577
2025,Q2,2025-Q2,3.7499531255859297,4.252356319422054,5.008368378152727,0.5187168427358837,1.0211062665291575
2025,Q3,2025-Q3,3.7499531255859297,4.381576233949501,5.058630628688814,0.524069904089511,1.0211062665291577
2025,Q4,2025-Q4,3.7499531255859297,4.3671024275393275,4.990875377841815,0.5291023548505458,1.0211062665291577
2026,Q1,2026-Q1,3.7499531255859297,4.3894923357025215,5.0563104439777655,0.5417173523504213,1.0211062665291577
