year,quarter,year_quarter,quote,n_days,rate_mean,rate_std,rate_min,rate_max
2016,Q1,2016-Q1,EUR,91,0.2419335164835165,0.003385164815822218,0.23533,0.24811
2016,Q1,2016-Q1,GBP,91,0.18613494505494504,0.002655894230502059,0.17983,0.19181
2016,Q1,2016-Q1,USD,91,0.26667,0.0,0.26667,0.26667
2016,Q2,2016-Q2,AED,91,0.9793300000000001,0.0,0.97933,0.97933
2016,Q2,2016-Q2,CNY,91,1.7419351648351649,0.013589059109170139,1.7223,1.7727
2016,Q2,2016-Q2,EUR,91,0.23624087912087913,0.0020009218144265446,0.23181,0.24117
2016,Q2,2016-Q2,GBP,91,0.18581472527472528,0.003629649306800055,0.18059,0.20005
2016,Q2,2016-Q2,USD,91,0.26667,0.0,0.26667,0.26667
2016,Q3,2016-Q3,AED,92,0.97933,0.0,0.97933,0.97933
2016,Q3,2016-Q3,CNY,92,1.777666304347826,0.004460800627244556,1.7679,1.7862
2016,Q3,2016-Q3,EUR,92,0.23882728260869565,0.0018129049624211289,0.23544,0.24271
2016,Q3,2016-Q3,GBP,92,0.20277521739130436,0.0018677502940738404,0.1994,0.20623
2016,Q3,2016-Q3,USD,92,0.26667,0.0,0.26667,0.26667
2016,Q4,2016-Q4,AED,92,0.97933,0.0,0.97933,0.97933
2016,Q4,2016-Q4,CNY,92,1.8215130434782607,0.024722038116980437,1.7791,1.8554
2016,Q4,2016-Q4,EUR,92,0.2470538043478261,0.005708243093461157,0.2378,0.2563
2016,Q4,2016-Q4,GBP,92,0.2145741304347826,0.003147474882607639,0.20541,0.219
2016,Q4,2016-Q4,USD,92,0.26667,0.0,0.26667,0.26667
2017,Q1,2017-Q1,AED,90,0.97933,0.0,0.97933,0.97933
2017,Q1,2017-Q1,CNY,90,1.8366655555555556,0.005902354531348782,1.8254,1.8547
2017,Q1,2017-Q1,EUR,90,0.2502968888888889,0.0022122141252216678,0.24561,0.25564
2017,Q1,2017-Q1,GBP,90,0.2153606666666667,0.002338409523826751,0.21127,0.22048
2017,Q1,2017-Q1,USD,90,0.26667,0.0,0.26667,0.26667
2017,Q2,2017-Q2,AED,91,0.9793300000000001,0.0,0.97933,0.97933
2017,Q2,2017-Q2,CNY,91,1.8301901098901099,0.010956743787833827,1.8087,1.842
2017,Q2,2017-Q2,EUR,91,0.2426754945054945,0.005113133690960578,0.23398,0.25172
2017,Q2,2017-Q2,GBP,91,0.2087087912087912,0.002776140740574449,0.20516,0.21499
2017,Q2,2017-Q2,USD,91,0.26667,0.0,0.26667,0.26667
2017,Q3,2017-Q3,AED,92,0.97933,0.0,0.97933,0.97933
2017,Q3,2017-Q3,CNY,92,1.7796728260869563,0.024981628868759844,1.7261,1.8143
2017,Q3,2017-Q3,EUR,92,0.22729315217391302,0.003912204608614614,0.22172,0.23504
2017,Q3,2017-Q3,GBP,92,0.2039858695652174,0.0032487739537523817,0.19683,0.20821
2017,Q3,2017-Q3,USD,92,0.26667,0.0,0.26667,0.26667
2017,Q4,2017-Q4,AED,92,0.97933,0.0,0.97933,0.97933
2017,Q4,2017-Q4,CNY,92,1.7637391304347827,0.007836235311100111,1.7385,1.775
2017,Q4,2017-Q4,EUR,92,0.22646989130434783,0.0017399794709949934,0.22303,0.23024
2017,Q4,2017-Q4,GBP,92,0.20088358695652175,0.0018085532931969473,0.19779,0.20359
2017,Q4,2017-Q4,USD,92,0.26667,0.0,0.26667,0.26667
2018,Q1,2018-Q1,AED,90,0.97933,0.0,0.97933,0.97933
2018,Q1,2018-Q1,CNY,90,1.6964022222222221,0.018312928924472293,1.6725,1.7384
2018,Q1,2018-Q1,EUR,90,0.21707155555555555,0.0024009365733944805,0.21366,0.2231
2018,Q1,2018-Q1,GBP,90,0.1917961111111111,0.00279220049119349,0.18756,0.19789
2018,Q1,2018-Q1,USD,90,0.26667,0.0,0.26667,0.26667
2018,Q2,2018-Q2,AED,91,0.9793300000000001,0.0,0.97933,0.97933
2018,Q2,2018-Q2,CNY,91,1.6999945054945056,0.02118905043563442,1.6739,1.7652
2018,Q2,2018-Q2,EUR,91,0.22358505494505496,0.005024255472455837,0.21549,0.23056
2018,Q2,2018-Q2,GBP,91,0.19593637362637364,0.004962568223204935,0.18622,0.20322
2018,Q2,2018-Q2,USD,91,0.26667,0.0,0.26667,0.26667
2018,Q3,2018-Q3,AED,92,0.97933,0.0,0.97933,0.97933
2018,Q3,2018-Q3,CNY,92,1.8147358695652174,0.021074246465074636,1.7654,1.8405
2018,Q3,2018-Q3,EUR,92,0.22935206521739132,0.001900511520527051,0.22672,0.23484
2018,Q3,2018-Q3,GBP,92,0.20465923913043477,0.0024503093474563856,0.20056,0.20981
2018,Q3,2018-Q3,USD,92,0.26667,0.0,0.26667,0.26667
2018,Q4,2018-Q4,AED,92,0.97933,0.0,0.97933,0.97933
2018,Q4,2018-Q4,CNY,92,1.844120652173913,0.007719712715196195,1.8285,1.8583
2018,Q4,2018-Q4,EUR,92,0.23360891304347825,0.0015434458782764607,0.22978,0.23689
2018,Q4,2018-Q4,GBP,92,0.20723119565217393,0.002847105274628286,0.20185,0.21232
2018,Q4,2018-Q4,USD,92,0.26667,0.0,0.26667,0.26667
