item_name,date,inflation_rate,year,quarter,year_quarter
General Index,01-01-2023,3.3,2023,Q1,2023-Q1
General Index,01-02-2023,3.2,2023,Q1,2023-Q1
General Index,01-03-2023,3.2,2023,Q1,2023-Q1
General Index,01-04-2023,3.1,2023,Q2,2023-Q2
General Index,01-05-2023,2.8,2023,Q2,2023-Q2
General Index,01-06-2023,2.6,2023,Q2,2023-Q2
General Index,01-07-2023,2.5,2023,Q3,2023-Q3
General Index,01-08-2023,2.1,2023,Q3,2023-Q3
General Index,01-09-2023,1.8,2023,Q3,2023-Q3
General Index,01-10-2023,1.6,2023,Q4,2023-Q4
General Index,01-11-2023,1.8,2023,Q4,2023-Q4
General Index,01-12-2023,1.6,2023,Q4,2023-Q4
General Index,01-01-2024,1.7,2024,Q1,2024-Q1
General Index,01-02-2024,1.6,2024,Q1,2024-Q1
General Index,01-03-2024,1.2,2024,Q1,2024-Q1
General Index,01-04-2024,1.4,2024,Q2,2024-Q2
General Index,01-05-2024,1.6,2024,Q2,2024-Q2
General Index,01-06-2024,1.8,2024,Q2,2024-Q2
General Index,01-07-2024,1.3,2024,Q3,2024-Q3
General Index,01-08-2024,1.4,2024,Q3,2024-Q3
General Index,01-09-2024,1.5,2024,Q3,2024-Q3
General Index,01-10-2024,1.5,2024,Q4,2024-Q4
General Index,01-11-2024,1.5,2024,Q4,2024-Q4
General Index,01-12-2024,1.4,2024,Q4,2024-Q4
General Index,01-01-2025,1.6,2025,Q1,2025-Q1
General Index,01-02-2025,1.7,2025,Q1,2025-Q1
General Index,01-03-2025,2.1,2025,Q1,2025-Q1
General Index,01-04-2025,2.1,2025,Q2,2025-Q2
General Index,01-05-2025,2.1,2025,Q2,2025-Q2
General Index,01-06-2025,2.0,2025,Q2,2025-Q2
General Index,01-07-2025,2.2,2025,Q3,2025-Q3
General Index,01-08-2025,2.3,2025,Q3,2025-Q3
General Index,01-09-2025,2.2,2025,Q3,2025-Q3
General Index,01-10-2025,2.2,2025,Q4,2025-Q4
General Index,01-11-2025,1.9,2025,Q4,2025-Q4
General Index,01-12-2025,2.1,2025,Q4,2025-Q4
General Index,01-01-2026,1.8,2026,Q1,2026-Q1
General Index,01-02-2026,1.7,2026,Q1,2026-Q1
General Index,01-03-2026,1.8,2026,Q1,2026-Q1
General Index,01-04-2026,1.7,2026,Q2,2026-Q2
General Index,01-05-2026,1.8,2026,Q2,2026-Q2
General Index,01-06-2026,1.8,2026,Q2,2026-Q2
General Index,01-07-2026,1.8,2026,Q3,2026-Q3
